STABR;FSCSKEY;LIBID;LIBNAME;ADDRESS;CITY;ZIP;PHONE;VISITS;LONGITUDE;LATITUDE
AK;AK0037;AK0037-002;KASILOF PUBLIC LIBRARY;58231 STERLING HIGHWAY;KASILOF;99610;9072525886;3792;-151266514;60308055
AK;AK0038;AK0038-002;KENAI COMMUNITY LIBRARY;163 MAIN STREET LOOP;KENAI;99611;9072834378;90527;-151246177;60559086
AK;AK0039;AK0039-002;KETCHIKAN PUBLIC LIBRARY;1110 COPPER RIDGE LANE;KETCHIKAN;99901;9072253331;91870;-131651574;55348632
AK;AK0040;AK0040-002;KODIAK PUBLIC LIBRARY;612 EGAN WAY;KODIAK;99615;9074868686;185350;-152397552;57792618
AK;AK0041;AK0041-002;CHUKCHI CONSORTIUM LIBRARY;604 THIRD STREET;KOTZEBUE;99752;9074422410;23000;-16258742;66899303
AK;AK0044;AK0044-002;MCGRATH COMMUNITY LIBRARY;249 F STREET;MCGRATH;99627;9075243843;4089;-155277642;62907723
AK;AK0046;AK0046-002;CENTENNIAL LIBRARY;4TH & MILTON STREET;METLAKATLA;99926;9078866000;2000;-131542403;55087048
AK;AK0047;AK0047-004;MARTIN MONSEN REGIONAL LIBRARY;101 MAIN STREET;NAKNEK;99633;9072464465;9557;-156989536;58876955
AK;AK0048;AK0048-002;NENANA PUBLIC LIBRARY;106 EAST SECOND STREET;NENANA;99760;9078325812;6604;-149095235;64562398
AK;AK0051;AK0051-002;NINILCHIK COMMUNITY LIBRARY;15850 STERLING HIGHWAY;NINILCHIK;99639;9075673333;3459;-151674959;60041867
AK;AK0052;AK0052-002;KEGOAYAH KOZGA LIBRARY;100 WEST 7TH AVENUE;NOME;99762;9074436628;26000;-165398107;64502659
AK;AK0053;AK0053-002;NORTHWAY COMMUNITY/SCHOOL LIBRARY;496 NORTHWAY ROAD;NORTHWAY;99764;9077782310;-3;-1419413;62944215
AK;AK0055;AK0055-002;PALMER PUBLIC LIBRARY;655 SOUTH VALLEY WAY;PALMER;99645;9077611371;104823;-149112659;61600524
AK;AK0056;AK0056-002;PELICAN PUBLIC LIBRARY;166 SALMON WAY;PELICAN;99832;9077352500;5118;-13622562;57959464
AK;AK0057;AK0057-002;PETERSBURG PUBLIC LIBRARY;14 SOUTH SECOND STREET;PETERSBURG;99833;9077723349;75693;-132954972;56810897
AK;AK0058;AK0058-002;JESSIE WAKEFIELD MEMORIAL LIBRARY;207 SPRUCE DRIVE;PORT LIONS;99550;9074542288;2693;-152884927;57866238
AK;AK0061;AK0061-002;ST. PAUL ISLAND SCHOOL/COMMUNITY LIBRARY;930 TOLSTOI BOULEVARD;ST. PAUL;99660;9075463334;765;-170279154;57120767
AK;AK0064;AK0064-002;SELDOVIA PUBLIC LIBRARY;260 SELDOVIA STREET;SELDOVIA;99663;9072347662;3936;-151714645;59438719
AK;AK0065;AK0065-002;SEWARD COMMUNITY LIBRARY AND MUSEUM;239 6TH AVENUE;SEWARD;99664;9072244082;76463;-149437202;60101942
AK;AK0067;AK0067-002;SITKA PUBLIC LIBRARY;320 HARBOR DRIVE;SITKA;99835;9077478708;155018;-135334186;57049685
AK;AK0068;AK0068-002;SKAGWAY PUBLIC LIBRARY;769 STATE STREET;SKAGWAY;99840;9079832665;26937;-13531181;59458644
AK;AK0069;AK0069-002;JOYCE K. CARVER MEMORIAL SOLDOTNA PUBLIC LIBRARY;235 NORTH BINKLEY ST.;SOLDOTNA;99669;9072624227;112661;-151072424;60492451
AK;AK0070;AK0070-002;SUTTON PUBLIC LIBRARY;11301 NORTH CHICKALOON WAY;SUTTON;99674;9078617640;20393;-148877449;61711438
AK;AK0072;AK0072-002;TALKEETNA PUBLIC LIBRARY;24645 SOUTH TALKEETNA SPUR ROAD;TALKEETNA;99676;9078617645;46671;-150089794;62300741
AK;AK0073;AK0073-002;TANANA COMMUNITY/SCHOOL LIBRARY;89 FRONT STREET;TANANA;99777;9073667356;-3;-15205719;65183174
AK;AK0074;AK0074-002;DERMOTT O`TOOLE MEMORIAL LIBRARY;707 WEST TENAKEE AVENUE;TENAKEE SPRINGS;99841;9077362248;1876;-135227425;57780684
AK;AK0075;AK0075-002;TOK COMMUNITY LIBRARY;MILE 1314 ALASKA HIGHWAY;TOK;99780;9078835623;5513;-141519431;62898477
AK;AK0077;AK0077-002;VALDEZ CONSORTIUM LIBRARY;212 FAIRBANKS DRIVE;VALDEZ;99686;9078354632;34053;-146353405;61129843
AK;AK0078;AK0078-002;WASILLA PUBLIC LIBRARY;500 N CRUSEY STREET;WASILLA;99654;9073765913;113977;-149429627;61584383
AK;AK0080;AK0080-002;WILLOW PUBLIC LIBRARY;23557 WEST WILLOW COMMUNITY CENTER;WILLOW;99688;9078617655;33527;-150075419;61734927
AK;AK0081;AK0081-002;IRENE INGLE PUBLIC LIBRARY;124 SECOND STREET;WRANGELL;99929;9078743535;18850;-132387093;5647322
AK;AK0082;AK0082-002;AKIAK SCHOOL/COMMUNITY LIBRARY;1 KILBUCK ROAD;AKIAK;99552;9077654631;5975;-161218909;60911182
AK;AK0085;AK0085-002;FRANCES KIBBLE KENNY LAKE PUBLIC LIBRARY;MILE 5 EDGERTON HIGHWAY;KENNY LAKE;99573;9078223015;1939;-144895811;61714048
AK;AK0087;AK0087-002;KOYUK PUBLIC LIBRARY;3RD AND BIRCH STREET;KOYUK;99753;9079633971;-3;-16116664;6493061
AK;AK0091;AK0091-002;TULUKSAK SCHOOL/COMMUNITY LIBRARY;1 PHILLIP STREET;TULUKSAK;99679;9076955636;-3;-160952397;61107769
AK;AK0094;AK0094-010;TUZZY CONSORTIUM LIBRARY;5421 NORTH STAR STREET;BARROW;99723;9078524050;70570;-156753223;71298854
AK;AK0095;AK0095-002;AKIACHAK SCHOOL/COMMUNITY LIBRARY;1 MAIN STREET;AKIACHAK;99551;9078253684;6656;-161397681;60888708
AK;AK0097;AK0097-002;ESTHER GREENWALD LIBRARY;366 GARTEENI HIGHWAY;HOONAH;99829;9079453611;-3;-135441491;58108149
AK;AK0099;AK0099-002;MOOSE PASS PUBLIC LIBRARY;38100 DEPOT ROAD;MOOSE PASS;99631;9072883111;350;-149366958;60486409
AK;AK0100;AK0100-002;TOP OF THE KUSKOKWIM COMMUNITY/SCHOOL LIBRARY;9127 MAIN STREET;NIKOLAI;99691;9072932427;1850;-154377316;63010723
AK;AK0101;AK0101-002;SAND POINT COMMUNITY/SCHOOL LIBRARY;123 RED COVE ROAD;SAND POINT;99661;9073832393;-3;-160481383;55353362
AK;AK0102;AK0102-002;EGEGIK VILLAGE LIBRARY;289 AIRPORT ROAD;EGEGIK;99579;9072332211;400;-157357007;58207647
AK;AK0103;AK0103-002;TRAPPER CREEK PUBLIC LIBRARY;8901 EAST DEVONSHIRE DRIVE;TRAPPER CREEK;99683;9078617650;5769;-150238328;62307244
AK;AK0104;AK0104-002;HOLY CROSS COMMUNITY/SCHOOL LIBRARY;210 MAIN STREET;HOLY CROSS;99602;9074767131;1035;-160023886;62057258
AK;AK0113;AK0113-002;OUZINKIE TRIBAL MEDIA CENTER;216 THIRD STREET;OUZINKIE;99644;9076802323;3000;-152508211;5792118
AK;AK0114;AK0114-002;ST. GEORGE ISLAND SCHOOL/COMMUNITY LIBRARY;NO. 1 ELEMENTARY SCHOOL ROAD;ST. GEORGE;99591;9078592228;800;-169544528;56602841
AK;AK0115;AK0115-002;UNALASKA PUBLIC LIBRARY;64 ELEANOR DRIVE;UNALASKA;99685;9075815060;47512;-166531062;53871272
AK;AK0116;AK0116-002;ANIAK PUBLIC LIBRARY;270 RIVERFRONT DRIVE;ANIAK;99557;9076754435;2250;-156703855;61496999
AK;AK0117;AK0117-002;HYDER PUBLIC LIBRARY;50 MAIN STREET;HYDER;99923;2506369169;1328;-13003504;55924139
AK;AK0120;AK0120-002;INNOKO RIVER COMMUNITY/SCHOOL AND TRIBAL LIBRARY;101 PINE STREET;SHAGELUK;99665;9074738206;1655;-159532821;62654848
AK;AK0121;AK0121-002;BLACKWELL COMMUNITY/SCHOOL LIBRARY;100 WHITE SPRUCE TRAIL;ANVIK;99558;9076636348;1020;-160196111;62652048
AK;AK0122;AK0122-002;DAVID LOUIS COMMUNITY/SCHOOL LIBRARY;DAVID LOUIS SCHOOL BUILDING;GRAYLING;99590;9074535135;450;-160065584;62905679
AK;AK0123;AK0123-001;KLAWOCK PUBLIC LIBRARY;615 NORTH PARK STREET;KLAWOCK;99925;9077552261;-3;-13299995;55539085
AK;AK0124;AK0124-002;LAKE MINCHUMINA COMMUNITY LIBRARY;123 FRONT STREET;LAKE MINCHUMINA;99757;9076743211;1746;-152427523;63848952
AK;AK0126;AK0126-002;IGIUGIG TRIBAL LIBRARY;1 AIRPORT WAY;IGIUGIG;99613;9075333211;1250;-15657377;58748921
AK;AK0127;AK0127-002;COFFMAN COVE COMMUNITY LIBRARY;108 NW DENALI ALLEY;COFFMAN COVE;99918;9073292233;4738;-132829086;56013706
AK;AK0130;AK0130-002;THORNE BAY PUBLIC LIBRARY;120 FREEMAN DRIVE;THORNE BAY;99919;9078283303;3512;-132523018;55686642
AK;AK0134;AK0134-001;WHALE PASS COMMUNITY LIBRARY;BEACH ROAD LOT 3 BLOCK 14;WHALE PASS;99950;9078465226;2678;-133075907;55781881
AK;AK0135;AK0135-001;TOGIAK PUBLIC LIBRARY AND CULTURAL CENTER;2ND AND MAIN STREET;TOGIAK;99678;9074935566;7145;-160392388;59061532
AK;AK0136;AK0136-001;SCAMMON BAY PUBLIC LIBRARY;103 MAIN STREET;SCAMMON BAY;99662;9075585400;-3;-165583113;61842693
AK;AK0137;AK0137-001;KLUKWAN COMMUNITY/SCHOOL LIBRARY;315 MISSION STREET;KLUKWAN;99827;9077675551;1473;-135894808;59399408
AK;AK0138;AK0138-002;SHIRLY JACKSON COMMUNITY LIBRARY;175 LIBRARY DR;KAKE;99830;9077853741;312;-133945079;56974753
AK;AK0139;AK0139-002;SAMUEL B. FOSS LIBRARY;1 WATERFRONT WAY;PEDRO BAY;99647;9078502225;627;-154121394;59785083
AL;AL0001;100-000;CARL ELLIOTT REGIONAL LIBRARY SYSTEM;98 18TH STREET EAST;JASPER;35501;2052212568;0;-87273771;33833469
AL;AL0002;100-001;ARLEY PUBLIC LIBRARY;6788 COUNTY ROAD 41;ARLEY;35541;2053870129;4597;-87213512;34075978
AL;AL0005;100-004;DOUBLE SPRINGS PUBLIC LIBRARY;637 BLAKE DRIVE;DOUBLE SPRINGS;35553;2054892412;7532;-87383386;34147015
AL;AL0006;100-005;HALEYVILLE PUBLIC LIBRARY;913 20TH STREET;HALEYVILLE;35565;2054867450;8716;-87623382;34226382
AL;AL0007;100-006;JASPER PUBLIC LIBRARY;98 EAST 18TH STREET;JASPER;35501;2052218512;46740;-87273771;33833469
AL;AL0009;100-008;SUMITON PUBLIC LIBRARY;416 STATE STREET;SUMITON;35148;2056487451;9408;-87049562;33751113
AL;AL0010;101-000;CHEAHA REGIONAL LIBRARY;935 COLEMAN STREET;HEFLIN;36264;2564637125;2765;-85588913;33643802
AL;AL0011;101-001;ROANOKE - ANNIE L. AWBREY PUBLIC LIBRARY;736 COLLEGE STREET;ROANOKE;36274;3348632632;32104;-85370266;33149506
AL;AL0012;101-002;ASHLAND CITY PUBLIC LIBRARY;11 2ND AVENUE NORTH;ASHLAND;36251;2563543427;11024;-85837826;332748
AL;AL0013;999-028;SYLACAUGA - B. B. COMER MEMORIAL LIBRARY;314 NORTH BROADWAY AVENUE;SYLACAUGA;35150;2562490961;56703;-862507;33172364
AL;AL0014;101-004;CHEROKEE COUNTY PUBLIC LIBRARY;310 MARY STREET;CENTRE;35960;2569275838;41521;-85676396;34149392
AL;AL0015;101-005;CHILDERSBURG - EARLE A. RAINWATER MEMORIAL LIBRARY;124 NINTH AVENUE SW;CHILDERSBURG;35044;2563787239;40968;-86355543;3327713
AL;AL0016;101-006;LINCOLN PUBLIC LIBRARY;47475 US HWY 78;LINCOLN;35096;2057634080;11570;-86122097;33603739
AL;AL0017;101-007;LINEVILLE PUBLIC LIBRARY;60119 HIGHWAY 49;LINEVILLE;36266;2563965162;4823;-85754481;33311149
AL;AL0018;101-008;HEFLIN - LUCILE L. MORGAN PUBLIC LIBRARY;541 ROSS STREET;HEFLIN;36264;2564632259;6267;-85587867;33643921
AL;AL0019;101-009;OXFORD PUBLIC LIBRARY;110 EAST 6TH STREET;OXFORD;36203;2568311750;57112;-85835083;33609586
AL;AL0020;999-070;TALLADEGA - ARMSTRONG-OSBORNE PUBLIC LIBRARY;202 SOUTH STREET EAST;TALLADEGA;35160;2563624211;67320;-86099364;33433204
AL;AL0022;999-033;ABBEVILLE MEMORIAL LIBRARY;301 KIRKLAND STREET;ABBEVILLE;36310;3345852818;22449;-85250431;31567277
AL;AL0024;999-035;HEADLAND - BLANCHE R. SOLOMON MEMORIAL LIBRARY;17 PARK STREET;HEADLAND;36345;3346932706;22525;-85341891;31352339
AL;AL0025;999-061;BRUNDIDGE - TUPPER LIGHTFOOT MEMORIAL LIBRARY;164 SOUTH MAIN STREET;BRUNDIDGE;36010;3347352145;14424;-85815672;31718474
AL;AL0026;999-079;OZARK - DALE COUNTY PUBLIC LIBRARY;416 JAMES STREET;OZARK;36360;3347745480;126555;-85632952;31452118
AL;AL0029;517-001;CLIO - ELTON B. STEPHENS LIBRARY;17 SCHOOL STREET;CLIO;36017;3347334858;19873;-85612066;3170873
AL;AL0030;517-003;LOUISVILLE PUBLIC LIBRARY;1951 MAIN STREET;LOUISVILLE;36048;3342665210;300;-85555326;31783757
AL;AL0031;999-077;MIDLAND CITY - MARY BERRY BROWN MEMORIAL LIBRARY;1318 HINTON WATERS AVENUE;MIDLAND CITY;36350;3349839999;12993;-85495565;31317795
AL;AL0032;999-078;NEWTON PUBLIC LIBRARY;209 OATES DRIVE;NEWTON;36352;3342993316;5500;-85596823;31331973
AL;AL0033;517-004;CLAYTON - TOWN AND COUNTY PUBLIC LIBRARY;45 NORTH MIDWAY STREET;CLAYTON;36016;3347753506;4160;-85449622;31880905
AL;AL0034;999-060;TROY PUBLIC LIBRARY;500 EAST WALNUT STREET;TROY;36079;3345661314;94012;-85963601;31808538
AL;AL0035;999-058;UNION SPRINGS PUBLIC LIBRARY;103 NORTH PRAIRIE STREET;UNION SPRINGS;36089;3347382760;8421;-85716162;32143481
AL;AL0037;103-001;ANDALUSIA PUBLIC LIBRARY;212 SOUTH THREE NOTCH STREET;ANDALUSIA;36420;3342226612;28761;-86482933;3130685
AL;AL0038;103-002;BRANTLEY PUBLIC LIBRARY;10 MLK DRIVE;BRANTLEY;36009;3345278624;3335;-86257179;31582383
AL;AL0039;999-034;ELBA PUBLIC LIBRARY;406 SIMMONS STREET;ELBA;36323;3348976921;28395;-86066276;31414554
AL;AL0040;103-004;GENEVA - EMMA KNOX KENAN LIBRARY;312 SOUTH COMMERCE STREET;GENEVA;36340;3346842459;16380;-85865187;31036428
AL;AL0041;999-041;ENTERPRISE PUBLIC LIBRARY;101 EAST GRUBBS STREET;ENTERPRISE;36330;3343472636;91939;-85852628;31314188
AL;AL0042;103-006;FLORALA PUBLIC LIBRARY;1214 FOURTH STREET;FLORALA;36442;3348583525;19627;-86325342;31008234
AL;AL0043;103-007;HARTFORD - MCGREGOR-MCKINNEY PUBLIC LIBRARY;101 EAST FULTON STREET;HARTFORD;36344;3345882384;10937;-85696718;31098308
AL;AL0044;103-008;LUVERNE PUBLIC LIBRARY;148 EAST THIRD STREET;LUVERNE;36049;3343355326;26429;-86260958;31716313
AL;AL0045;103-009;OPP PUBLIC LIBRARY;1604 NORTH MAIN STREET;OPP;36467;3344936423;16178;-8625496;31305449
AL;AL0046;103-010;SAMSON PUBLIC LIBRARY;200 NORTH JOHNSON STREET;SAMSON;36477;3348987806;3460;-86045962;31116649
AL;AL0047;103-011;SLOCOMB PUBLIC LIBRARY;134 SOUTH DALTON AVENUE;SLOCOMB;36375;3348869009;4230;-85593695;31106851
AL;AL0048;104-000;HORSESHOE BEND REGIONAL LIBRARY;207 NORTH WEST STREET;DADEVILLE;36853;2568259232;4160;-85765416;32833463
AL;AL0049;104-001;ALEXANDER CITY - ADELIA MCCONNELL RUSSELL LIBRARY;318 CHURCH STREET;ALEXANDER CITY;35010;2563296796;46848;-85953891;32941213
AL;AL0050;104-002;DADEVILLE PUBLIC LIBRARY;205 NORTH WEST STREET;DADEVILLE;36853;2568257820;26196;-85765416;32833455
AL;AL0051;104-003;GOODWATER PUBLIC LIBRARY;62 COOSA COUNTY ROAD 66;GOODWATER;35072;2568395741;7174;-86054066;33067116
AL;AL0052;104-004;AUBURN PUBLIC LIBRARY;749 EAST THACH AVENUE;AUBURN;36830;3345013190;193247;-85466226;32604437
AL;AL0053;104-005;OPELIKA - LEWIS COOPER JR. MEMORIAL LIBRARY;200 SOUTH 6TH STREET;OPELIKA;36801;3347055380;119381;-85375896;32649146
AL;AL0054;104-006;MILLBROOK PUBLIC LIBRARY;3650 GRANDVIEW ROAD;MILLBROOK;36054;3342856688;58250;-86368373;324829
AL;AL0055;104-007;ROCKFORD PUBLIC LIBRARY;9688 US HWY 231;ROCKFORD;35136;2563774911;1206;-86219605;32888961
AL;AL0056;104-008;TALLASSEE COMMUNITY PUBLIC LIBRARY;99 FREEMAN AVENUE;TALLASSEE;36078;3342832732;24831;-85883848;32534711
AL;AL0057;104-009;WETUMPKA PUBLIC LIBRARY;212 SOUTH MAIN STREET;WETUMPKA;36092;3345671308;27198;-86205739;32535937
AL;AL0059;516-001;FLORENCE - LAUDERDALE PUBLIC LIBRARY;350 NORTH WOOD AVENUE;FLORENCE;35630;2567646564;227221;-87674599;34803515
AL;AL0060;999-039;TUSCUMBIA - HELEN KELLER PUBLIC LIBRARY;511 NORTH MAIN STREET;TUSCUMBIA;35674;2563837065;12344;-87703494;34737406
AL;AL0061;999-042;LEIGHTON PUBLIC LIBRARY;8740 MAIN STREET;LEIGHTON;35646;2564465380;3059;-87528919;34700616
AL;AL0062;999-050;MUSCLE SHOALS PUBLIC LIBRARY;1918 EAST AVALON AVENUE;MUSCLE SHOALS;35661;2563869212;262812;-87643817;34744428
AL;AL0063;516-004;ROGERSVILLE PUBLIC LIBRARY;74 BANK STREET;ROGERSVILLE;35652;2562470151;21689;-87292052;34824278
AL;AL0064;999-066;SHEFFIELD PUBLIC LIBRARY;316 NORTH MONTGOMERY AVENUE;SHEFFIELD;35660;2563865633;33000;-87698537;34761099
AL;AL0065;106-000;NORTHWEST REGIONAL LIBRARY;185 ASHWOOD DRIVE;WINFIELD;35594;2054872330;0;-87814969;3393087
AL;AL0066;106-001;HAMILTON - CLYDE NIX PUBLIC LIBRARY;350 BEXAR AVENUE WEST;HAMILTON;35570;2059214290;12698;-87993156;34143509
AL;AL0067;106-002;KENNEDY PUBLIC LIBRARY;17885 HIGHWAY 96;KENNEDY;35574;2055963670;154;-87987377;3358492
AL;AL0068;106-003;GUIN - MCHS COMMUNITY LIBRARY;8115 U.S. HIGHWAY 43;GUIN;35563;2054682544;5527;-87915237;33974838
AL;AL0069;106-004;MILLPORT PUBLIC LIBRARY;920 BLACK STREET;MILLPORT;35576;2056624286;4000;-88077564;33561426
AL;AL0070;106-005;RUSSELLVILLE PUBLIC LIBRARY;110 EAST LAWRENCE STREET;RUSSELLVILLE;35653;2563321535;10817;-87730313;3450474
AL;AL0071;106-006;SULLIGENT PUBLIC LIBRARY;514 ELM STREET;SULLIGENT;35586;2056988631;7102;-88131724;33900337
AL;AL0072;106-007;VERNON - MARY WALLACE COBB MEMORIAL LIBRARY;110 FIRST AVENUE WEST;VERNON;35592;2056956123;9533;-88110775;33757939
AL;AL0073;106-008;RED BAY - WEATHERFORD PUBLIC LIBRARY;307 4TH AVENUE SOUTH;RED BAY;35582;2053569255;5369;-88141742;34440512
AL;AL0074;106-009;WINFIELD PUBLIC LIBRARY;185 ASHWOOD DRIVE;WINFIELD;35594;2054872484;15394;-87814969;3393087
AL;AL0076;107-001;ATHENS - LIMESTONE PUBLIC LIBRARY;603 JEFFERSON STREET;ATHENS;35611;2562321233;105533;-86972392;34799016
AL;AL0077;107-002;DECATUR PUBLIC LIBRARY;504 CHERRY STREET NE;DECATUR;35601;2563532993;175529;-86981679;3460711
AL;AL0078;107-003;HARTSELLE - WILLIAM BRADFORD HUIE LIBRARY OF HARTSELLE;152 SPARKMAN STREET NW;HARTSELLE;35640;2567739880;13584;-86934983;34444241
AL;AL0079;107-004;LAWRENCE COUNTY PUBLIC LIBRARY;401 COLLEGE STREET;MOULTON;35650;2569740883;23833;-87295408;34476088
AL;AL0080;500-000;BALDWIN COUNTY LIBRARY COOPERATIVE;22251 PALMER STREET;ROBERTSDALE;36567;2519704010;21266;-87716889;30550241
AL;AL0081;500-001;DAPHNE PUBLIC LIBRARY;2607 U.S. HIGHWAY 98;DAPHNE;36526;2516212818;159027;-87905057;30617727
AL;AL0082;500-002;FAIRHOPE PUBLIC LIBRARY;501 FAIRHOPE AVENUE;FAIRHOPE;36532;2519287483;187987;-87900325;30523066
AL;AL0083;999-072;FOLEY PUBLIC LIBRARY;319 EAST LAUREL AVENUE;FOLEY;36535;2519437665;504275;-87678954;30406415
AL;AL0084;500-004;BAY MINETTE PUBLIC LIBRARY;205 WEST SECOND STREET;BAY MINETTE;36507;2515801648;71500;-87776746;30882349
AL;AL0085;500-005;LOXLEY PUBLIC LIBRARY;1001 EAST LOXLEY AVENUE;LOXLEY;36551;2519645695;8592;-87752894;30619945
AL;AL0086;500-006;OSCAR JOHNSON MEMORIAL LIBRARY;21967 SIXTH STREET;SILVERHILL;36576;2519455201;1860;-87751885;30545087
AL;AL0087;999-071;ROBERTSDALE PUBLIC LIBRARY;18301 PENNSYLVANIA STREET;ROBERTSDALE;36567;2519478960;73213;-87711945;30553648
AL;AL0088;500-008;GULF SHORES - THOMAS B. NORTON PUBLIC LIBRARY;221 WEST 19TH AVENUE;GULF SHORES;36542;2519681176;168776;-87690219;30272468
AL;AL0090;501-001;ADAMSVILLE PUBLIC LIBRARY;4825 MAIN STREET;ADAMSVILLE;35005;2056743399;11185;-86953261;33600136
AL;AL0091;501-002;BESSEMER PUBLIC LIBRARY;400 19TH STREET N;BESSEMER;35020;2054287882;137528;-86954714;33403221
AL;AL0092;501-003;MOUNTAIN BROOK - EMMET O`NEAL LIBRARY;50 OAK STREET;MOUNTAIN BROOK;35213;2058790459;248357;-867556;33500983
AL;AL0093;501-004;FAIRFIELD - WALTER J. HANNA MEMORIAL LIBRARY;4615 GARY AVENUE;FAIRFIELD;35064;2057836007;14020;-86915214;33491307
AL;AL0094;501-005;FULTONDALE PUBLIC LIBRARY;500 BYRD LANE;FULTONDALE;35068;2058496335;60000;-86850816;33614651
AL;AL0095;501-006;GARDENDALE - MARTHA MOORE PUBLIC LIBRARY;995 MT. OLIVE ROAD;GARDENDALE;35071;2056316639;89162;-86818629;33650758
AL;AL0096;501-007;GRAYSVILLE PUBLIC LIBRARY;315 SOUTH MAIN STREET;GRAYSVILLE;35073;2056743040;9788;-86973326;33626557
AL;AL0097;501-008;HOMEWOOD PUBLIC LIBRARY;1721 OXMOOR ROAD;HOMEWOOD;35209;2053326600;463079;-8679538;3347551
AL;AL0098;501-009;HOOVER PUBLIC LIBRARY;200 MUNICIPAL DRIVE;HOOVER;35216;2054447800;525563;-86805909;33388834
AL;AL0099;501-010;HUEYTOWN PUBLIC LIBRARY;1372 HUEYTOWN ROAD;HUEYTOWN;35023;2054911443;32085;-86996996;33448064
AL;AL0100;501-011;IRONDALE PUBLIC LIBRARY;105 20TH STREET SOUTH;IRONDALE;35210;2059511415;21250;-86706646;33537864
AL;AL0101;501-012;LEEDS - JANE CULBRETH LIBRARY;8104 PARKWAY DRIVE;LEEDS;35094;2056995962;42125;-86541747;33543515
